Date,TargetCountry,TargetCountryCode,ReceivingCountry,ReceivingCountryCode,Action,NumArticles,AvgTone,AvgGoldsteinScale,Action Name
20160306,1,2,8,2,36,10,-2.142857143,4,Express intent to meet or negotiate
20160307,1,2,9,2,10,10,-7.87037037,0,"Make statement, not specified below"
20160307,1,2,24,2,10,8,-0.55978011,0,"Make statement, not specified below"
20160307,1,2,2,2,36,12,0.814111262,4,Express intent to meet or negotiate
20160307,1,2,8,2,36,16,-1.873876001,4,Express intent to meet or negotiate
20160307,1,2,17,2,60,4,6.529209622,6,"Engage in material cooperation, not specified below"
20160307,1,2,40,2,112,8,-2.617801047,-2,"Accuse, not specified below"
20160308,1,2,8,2,356,10,-0.751879699,7,Express intent to de-escalate military engagement
20160308,1,2,23,2,115,6,-3.0651341,-2,Bring lawsuit against
20160308,1,2,38,2,13,3,-2.325581395,0.4,Make optimistic comment
20160308,1,2,8,2,36,10,-1.583434836,4,Express intent to meet or negotiate
20160308,1,2,9,2,71,10,4.14507772,7.4,Provide economic aid
20160309,1,2,9,2,36,6,1.19047619,4,Express intent to meet or negotiate
20160309,1,2,29,2,42,1,2.651515152,1.9,Make a visit
20160310,1,2,5,2,30,2,2.290076336,4,"Express intent to cooperate, not specified below"
20160310,1,2,20,2,31,10,0.257671586,5.2,"Express intent to engage in material cooperation, not specified below"
20160310,1,2,23,2,36,2,-0.669056153,4,Express intent to meet or negotiate
20160310,1,2,5,2,42,1,-2.120141343,1.9,Make a visit
20160310,1,2,27,2,42,4,-2.120141343,1.9,Make a visit
20160310,1,2,29,2,42,1,2.702702703,1.9,Make a visit
20160310,1,2,5,2,57,2,2.290076336,8,Sign formal agreement
