Date,TargetCountry,TargetCountryCode,ReceivingCountry,ReceivingCountryCode,Action,NumArticles,AvgTone,AvgGoldsteinScale
20150901,1,2,2,1,010,5,0.56179775280899,0.0
20150901,1,2,23,1,172,5,-3.52220520673813,-5.0
20150902,1,2,8,1,110,10,-1.96629213483146,-2.0
20150902,1,2,13,1,043,6,1.01449275362319,2.8
20150902,1,2,13,1,110,10,-2.86624203821656,-2.0
20150902,1,2,15,1,039,5,1.93965517241379,5.0
20150903,1,2,5,1,036,10,0.53547523427041,4.0
20150903,1,2,5,1,110,10,0.29154518950438,-2.0
20150904,1,2,36,1,036,1,0.44792833146697,4.0
20150905,1,2,5,1,0353,3,1.23239436619718,7.0
20150905,1,2,20,1,010,10,1.19363395225464,0.0
20150905,1,2,40,1,046,6,-4.39189189189189,7.0
20150906,1,2,27,1,036,6,-0.58309037900875,4.0
20150906,1,2,36,1,046,10,4.73588342440802,7.0
20150907,1,2,5,1,036,5,0.0,4.0
20150907,1,2,7,1,010,1,3.58974358974359,0.0
20150907,1,2,41,1,060,10,1.05633802816902,6.0
20150907,1,2,45,1,013,6,-0.96153846153846,0.4
20150908,1,2,24,1,036,7,-3.47394540942928,4.0
20150909,1,2,8,1,043,1,1.63111668757842,2.8
20150909,1,2,24,1,036,7,-3.47394540942928,4.0
20150909,1,2,28,1,040,10,2.15264187866927,1.0
20150909,1,2,40,1,036,8,-2.94117647058824,4.0
20150909,1,2,40,1,040,5,1.31147540983606,1.0
20150909,1,2,40,1,051,1,1.13207547169811,3.4
20150909,1,2,40,1,186,10,1.31147540983606,-10.0
20150910,1,2,24,1,036,7,-3.47394540942928,4.0
20150910,1,2,40,1,040,6,1.52671755725191,1.0
20150910,1,2,40,1,046,3,0.49180327868853,7.0
20150911,1,2,40,1,040,2,1.39211136890951,1.0
20150911,1,2,40,1,050,4,6.27450980392157,3.5
20150914,1,2,2,1,071,5,4.54545454545454,7.4
20150914,1,2,26,1,054,5,2.73037542662116,6.0
20150915,1,2,2,1,071,5,4.43896424167694,7.4
20150915,1,2,38,1,042,6,-1.05777054515866,1.9
20150915,1,2,38,1,043,6,-1.05777054515866,2.8
20150915,1,2,40,1,036,6,0.0,4.0
20150915,1,2,40,1,040,6,0.0,1.0
20150916,1,2,40,1,010,6,1.73913043478261,0.0
20150916,1,2,41,1,040,3,1.46252285191956,1.0
20150917,1,2,14,1,070,6,1.54639175257732,7.0
20150917,1,2,20,1,043,10,1.88356164383562,2.8
20150917,1,2,23,1,042,2,-1.61097852028639,1.9
20150917,1,2,40,1,020,10,3.82513661202186,3.0
20150917,1,2,40,1,040,6,-4.04984423676012,1.0
20150917,1,2,40,1,046,1,0.49180327868853,7.0
20150918,1,2,23,1,017,5,2.15462610899873,0.0
20150918,1,2,40,1,0214,5,-3.9426523297491,3.4
20150918,1,2,40,1,040,8,1.396990263894005,1.0
20150919,1,2,27,1,0874,2,0.22002200220022,10.0
20150919,1,2,40,1,040,10,0.57142857142857,1.0
20150920,1,2,23,1,046,5,-2.3156089193825,7.0
20150920,1,2,40,1,036,6,1.8716577540107,4.0
